Time,Month,Partner,OrderValue,Commission,Status,LastChanged
3/15/20 6:31:18 PM UTC+3,3,C4B,2819,169.14,Approved,5/8/2020 8:41
3/15/20 6:34:25 PM UTC+3,3,EP,2100,128.1,Approved,5/8/2020 8:39
3/15/20 6:37:15 PM UTC+3,3,SK,4399,263.94,Deleted,5/25/2020 15:37
3/15/20 6:38:53 PM UTC+3,3,C4B,2100,126,Deleted,5/25/2020 15:37
3/15/20 6:39:10 PM UTC+3,3,SK,2100,126,Approved,5/8/2020 8:43
3/15/20 6:54:14 PM UTC+3,3,EP,20580,1255.38,Approved,5/8/2020 8:41
3/15/20 6:59:07 PM UTC+3,3,CB,3150,189,Approved,5/8/2020 8:48
3/15/20 7:12:11 PM UTC+3,3,CB,1820,109.2,Approved,5/8/2020 8:41
3/15/20 7:16:37 PM UTC+3,3,SK,4399,263.94,Approved,5/8/2020 8:40
3/15/20 7:44:21 PM UTC+3,3,EP,301,18.36,Approved,5/8/2020 8:47
3/15/20 7:49:04 PM UTC+3,3,Other,399,24.34,Approved,5/8/2020 8:41
3/15/20 7:52:41 PM UTC+3,3,CB,1540,92.4,Approved,5/8/2020 8:40
3/15/20 8:14:38 PM UTC+3,3,KT,2156,129.36,Approved,5/8/2020 8:47
3/15/20 8:19:09 PM UTC+3,3,CB,3850,231,Approved,5/8/2020 8:42
3/15/20 8:29:32 PM UTC+3,3,CB,2800,168,Approved,5/8/2020 8:40
3/15/20 8:34:07 PM UTC+3,3,CB,3500,210,Deleted,5/25/2020 15:37
3/15/20 8:51:25 PM UTC+3,3,EP,910,55.51,Deleted,5/25/2020 15:37
3/15/20 9:16:38 PM UTC+3,3,EP,11270,687.47,Approved,5/8/2020 8:47
3/15/20 9:40:04 PM UTC+3,3,KT,1238,74.28,Deleted,5/25/2020 15:37
3/15/20 9:42:52 PM UTC+3,3,SK,1190,71.4,Approved,5/8/2020 8:44
3/15/20 9:53:53 PM UTC+3,3,KT,1054,63.24,Approved,5/8/2020 8:41
